id,date,location,species,latinName
02WNholuSg6ndCk4c1dA,2022-08-01T06:40:31,Manchester,Marsh tick,Ixodes apronophorus
02rFwLCaAwZSVxdTDicK,2014-09-12T23:33:03,London,Southern rodent tick,Ixodes acuminatus
05349NmKTyfUhYKZNNH0,2015-03-17T09:10:25,Glasgow,Passerine tick,Dermacentor frontalis
0JDKkIqLbrytQyWTq08t,2019-02-20T13:56:04,Birmingham,Passerine tick,Dermacentor frontalis
0Jac6jm48OtR2AMDmNZn,2017-11-30T11:50:02,Southampton,Tree-hole tick,Ixodes arboricola
0KWpLGYsmDgVEVQckW7f,2016-09-19T06:05:49,Glasgow,Tree-hole tick,Ixodes arboricola
0L5BVSzmm898d1JCBaVB,2023-07-20T21:30:11,Nottingham,Passerine tick,Dermacentor frontalis
0PPxLMBVzgqsoA8ExrkR,2022-02-03T15:49:52,Sheffield,Fox/badger tick,Ixodes canisuga
0PjHl5xUUWf9Taf2fHxN,2024-06-12T20:03:52,Sheffield,Marsh tick,Ixodes apronophorus
0YAF6rRZ8QL8n47OGxcJ,2019-01-30T07:47:29,Liverpool,Southern rodent tick,Ixodes acuminatus
0c0k4ArSwnqmBJOF8zTH,2022-09-02T01:21:13,Nottingham,Passerine tick,Dermacentor frontalis
0cFvJcqQDZ2KXHlLebv4,2020-07-03T13:35:07,Edinburgh,Marsh tick,Ixodes apronophorus
0mgV5wo4mQ9i0t8Hpfdw,2020-10-19T21:35:03,London,Tree-hole tick,Ixodes arboricola
0ravs6s6kOWxvwTQVDAe,2016-09-16T13:43:34,Newcastle,Southern rodent tick,Ixodes acuminatus
0sRQsA0wItCftZQFkJuG,2019-12-19T20:33:10,Edinburgh,Fox/badger tick,Ixodes canisuga
0t6DXz0QgOMjSKqCST8J,2021-12-26T06:52:07,Birmingham,Passerine tick,Dermacentor frontalis
0uCFMyqZJDRBYAmEFpSL,2015-09-20T13:43:51,Manchester,Marsh tick,Ixodes apronophorus
0wcc3HT0lnp2jkAy7q6Y,2024-04-17T20:31:08,Leicester,Tree-hole tick,Ixodes arboricola
17KF4VZgcDZRyFfs2bXd,2019-07-19T16:17:59,Glasgow,Fox/badger tick,Ixodes canisuga
18eYwPQXGmWl3ZnyiYLD,2015-03-22T04:53:53,Nottingham,Tree-hole tick,Ixodes arboricola
1BAyUx8rQnqelYaMLqmP,2015-03-06T15:04:32,Bristol,Fox/badger tick,Ixodes canisuga
1FbUZqbO3bggzhPn83f6,2016-03-19T06:22:59,Manchester,Marsh tick,Ixodes apronophorus
1SaWWwei5I8AFbxsl9UE,2020-09-05T15:39:10,Manchester,Tree-hole tick,Ixodes arboricola
1UAk7dOWT61bT8o8Ur6s,2012-05-02T03:22:57,London,Tree-hole tick,Ixodes arboricola
1VhTOVT9kr5E1V3J2rQ1,2018-10-21T04:07:16,Nottingham,Southern rodent tick,Ixodes acuminatus
1VsrvUmhvA9wLvuahmgX,2012-06-27T03:19:07,Nottingham,Tree-hole tick,Ixodes arboricola
1WTkNtTMvlPMMgyMcrMb,2024-12-08T20:09:18,Bristol,Marsh tick,Ixodes apronophorus
1X5DO4d2kst8TDz5yeUg,2020-07-20T09:44:59,Cardiff,Passerine tick,Dermacentor frontalis
